run_key,run_display,model_family,run_group,variant_label,probe_source_variant,is_probe,is_placeholder,outcome,count,fraction,family_rank,run_group_rank,variant_rank,probe_source_rank,probe_setting_rank
llama32_3b_sft_probe:layer_75pct,Llama Probe Post-Training SFT (75% depth layer),llama,Probe,75% depth layer,Post-Training SFT,True,False,broken,0,0.0,0,3,7,2,99
llama32_3b_sft_probe:layer_75pct,Llama Probe Post-Training SFT (75% depth layer),llama,Probe,75% depth layer,Post-Training SFT,True,False,stay_wrong,1411,0.38636363636363635,0,3,7,2,99
llama32_3b_dpo_probe:last,Llama Probe Post-Training DPO (Last layer),llama,Probe,Last layer,Post-Training DPO,True,False,stay_correct,2020,0.5531215772179627,0,3,8,3,99
llama32_3b_dpo_probe:last,Llama Probe Post-Training DPO (Last layer),llama,Probe,Last layer,Post-Training DPO,True,False,fixed,0,0.0,0,3,8,3,99
llama32_3b_dpo_probe:last,Llama Probe Post-Training DPO (Last layer),llama,Probe,Last layer,Post-Training DPO,True,False,broken,0,0.0,0,3,8,3,99
llama32_3b_dpo_probe:last,Llama Probe Post-Training DPO (Last layer),llama,Probe,Last layer,Post-Training DPO,True,False,stay_wrong,1632,0.44687842278203727,0,3,8,3,99
gemma3_4b_zeroshot,Gemma Prompting Zero-shot,gemma,Prompting,Zero-shot,n/a,False,False,stay_correct,903,0.2472617743702081,1,0,0,99,99
gemma3_4b_zeroshot,Gemma Prompting Zero-shot,gemma,Prompting,Zero-shot,n/a,False,False,fixed,120,0.03285870755750274,1,0,0,99,99
gemma3_4b_zeroshot,Gemma Prompting Zero-shot,gemma,Prompting,Zero-shot,n/a,False,False,broken,188,0.05147864184008762,1,0,0,99,99
gemma3_4b_zeroshot,Gemma Prompting Zero-shot,gemma,Prompting,Zero-shot,n/a,False,False,stay_wrong,2441,0.6684008762322016,1,0,0,99,99
gemma3_4b_4shot,Gemma Prompting 4-shot,gemma,Prompting,4-shot,n/a,False,False,stay_correct,873,0.23904709748083242,1,0,1,99,99
gemma3_4b_4shot,Gemma Prompting 4-shot,gemma,Prompting,4-shot,n/a,False,False,fixed,126,0.03450164293537788,1,0,1,99,99
gemma3_4b_4shot,Gemma Prompting 4-shot,gemma,Prompting,4-shot,n/a,False,False,broken,164,0.044906900328587074,1,0,1,99,99
gemma3_4b_4shot,Gemma Prompting 4-shot,gemma,Prompting,4-shot,n/a,False,False,stay_wrong,2489,0.6815443592552026,1,0,1,99,99
gemma3_4b_sft_zeroshot_eval,Gemma Post-Training SFT,gemma,Post-Training,SFT,n/a,False,False,stay_correct,963,0.26369112814895945,1,1,0,99,99
gemma3_4b_sft_zeroshot_eval,Gemma Post-Training SFT,gemma,Post-Training,SFT,n/a,False,False,fixed,68,0.018619934282584884,1,1,0,99,99
gemma3_4b_sft_zeroshot_eval,Gemma Post-Training SFT,gemma,Post-Training,SFT,n/a,False,False,broken,237,0.06489594742606791,1,1,0,99,99
gemma3_4b_sft_zeroshot_eval,Gemma Post-Training SFT,gemma,Post-Training,SFT,n/a,False,False,stay_wrong,2384,0.6527929901423878,1,1,0,99,99
gemma3_4b_dpo_zeroshot_eval,Gemma Post-Training DPO,gemma,Post-Training,DPO,n/a,False,False,stay_correct,922,0.2524644030668127,1,1,1,99,99
